ensemblGeneID	GeneSymbol	p1.shared_all_subcomp.1	p2.shared_all_subcomp.2	p3.shared_all_subcomp.3	p4.shared_all_subcomp.4	p5.shared_all_subcomp.5	p6.shared_all_subcomp.6	p7shared_all_subcomp.7	p8.shared_all_subcomp.8	p9.shared_all_subcomp.9	p10.shared_all_subcomp.10	p11.shared_all_subcomp.11	p12.shared_all_subcomp.12	p13.shared_all_subcomp.13	p14.shared_all_subcomp.14	p15.shared_all_subcomp.15	p16.shared_all_subcomp.16	p17.shared_all_subcomp.17	p18.shared_all_subcomp.18	p19.shared_all_subcomp.19	p20.shared_all_subcomp.20
ENSG00000153898	MCOLN2	0.0002	0.0000	0.0000	0.0116	0.0000	0.0000	0.0016	0.0193	0.0000	0.0526	0.0001	0.0028	0.0000	0.0163	0.0000	0.0000	0.0384	0.0233	0.0024	0.0000
ENSG00000105261	OVOL3	0.0002	0.0006	0.0064	0.0027	0.0000	0.0000	0.0002	0.0004	0.0000	0.0111	0.0034	0.0070	0.0024	0.0106	0.0000	0.0000	0.0000	0.0019	0.0058	0.0000
ENSG00000171017	LRRC8E	0.0002	0.0000	0.0002	0.0006	0.0000	0.0000	0.0000	0.0001	0.0000	0.0555	0.0000	0.0078	0.0000	0.0063	0.0000	0.0000	0.0071	0.0048	0.0076	0.0000
ENSG00000062524	LTK	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.2487	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.1186	0.0000	0.0000	0.0000
ENSG00000107796	ACTA2	0.0002	0.2806	0.0483	0.0001	0.0000	0.0624	0.0001	0.0263	0.0005	0.0631	0.0000	0.0193	0.0507	0.1041	0.0000	0.0000	0.2655	0.3458	0.1468	0.0393
ENSG00000105825	TFPI2	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0001	0.0000	0.0003	0.0000
ENSG00000118496	FBXO30	0.0002	0.0037	0.0620	0.0000	0.0325	0.0002	0.0000	0.0022	0.0271	0.0000	0.0002	0.0352	0.0004	0.0026	0.0001	0.0621	0.0000	0.0557	0.0000	0.0491
ENSG00000134107	BHLHE40	0.0002	0.0005	0.6272	0.0184	0.0067	0.0039	0.0199	0.0667	0.0000	0.0001	0.0005	0.1630	0.0000	0.1061	0.0034	0.4252	0.1002	0.1515	0.0007	0.0630
ENSG00000152492	CCDC50	0.0002	0.0128	0.2713	0.0792	0.0055	0.0694	0.0003	0.2166	0.1178	0.0029	0.0950	0.0080	0.2123	0.0071	0.0066	0.0054	0.0763	0.1734	0.1438	0.0000
ENSG00000150394	CDH8	0.0002	0.3247	0.0276	0.2879	0.0473	1.1766	0.1744	0.0419	0.4976	0.1282	0.0071	0.0010	0.8950	0.0005	0.0945	0.4729	1.3325	0.0136	0.1229	0.0977
